PRINC_DIAG_CODE,Count,ICD-9,icd9cm_mult
S72409A,4624.0,82120,['82120']
S82832A,4623.0,82301,['82301']
P593,4600.0,77439,['77439']
Q759,4598.0,7560,['7560']
K5080,4590.0,5552,['5552']
T43594A,4556.0,E9803,['9693' 'E9803']
M7020,4554.0,72633,['72633']
S1093XA,4547.0,920,['920']
N816,4544.0,61804,['61804']
F22,4542.0,2972,['2970' '2971' '2972']
J80,4540.0,51882,['51882']
K762,4540.0,570,['570']
L732,4535.0,70583,['70583']
S92009A,4532.0,8250,['8250']
D496,4526.0,2396,['2396']
E861,4522.0,27652,['27652']
J9589,4514.0,99739,['99732' '99739']
J353,4509.0,47410,['47410']
A045,4503.0,00843,['00843']
N400,4492.0,60000,['60000']
M5413,4485.0,7234,['7234']
I880,4484.0,2892,['2892']
S020XXA,4469.0,80000,['80000']
R633,4466.0,7833,['7833']
T782XXA,4449.0,9950,['9950']
G540,4446.0,3530,['3530']
R99,4437.0,7999,['7980' '7999']
G910,4426.0,3313,['3313']
K626,4419.0,56941,['56941']
E1040,4404.0,3572,['25061' '3572']
N3041,4404.0,59582,['59582']
D34,4402.0,226,['226']
B377,4370.0,99591,['1125' '99591']
M5187,4366.0,72293,['72293']
C9210,4364.0,20510,['20510']
O212,4355.0,64323,['64323']
K6389,4342.0,56989,['56989']
M1000,4296.0,27401,['27400' '27401']
O690XX0,4293.0,66301,['66301']
O4693,4280.0,64193,['64191' '64193']
J1289,4280.0,4808,['4808']
O752,4279.0,65921,['65921']
F205,4270.0,29560,['29560']
N831,4266.0,6201,['6201']
S52309A,4262.0,81321,['81321']
K9429,4258.0,53649,['53649']
K255,4254.0,53150,['53150']
R609,4251.0,7823,['7823']
I5181,4248.0,42983,['42983']
S271XXA,4232.0,8602,['8602']
N410,4226.0,6010,['6010']
K450,4207.0,5528,['5528']
I8501,4205.0,4560,['4560']
J1008,4204.0,48811,['4870' '48811']
G039,4204.0,3229,['3229']
E0500,4185.0,24200,['24200']
M542,4177.0,7231,['7231']
S02402A,4171.0,8024,['8024']
K429,4169.0,5531,['5531']
F4320,4156.0,3099,['3099']
K633,4149.0,56982,['56982']
K661,4145.0,56881,['56881']
R000,4137.0,7850,['7850']
C713,4133.0,1913,['1913']
G43901,4131.0,34692,['34692']
E65,4109.0,2781,['2781']
M79609,4100.0,7295,['7295']
M7550,4097.0,72610,['72610']
C7889,4095.0,1978,['1978']
S022XXA,4090.0,8020,['8020']
O34593,4069.0,65444,['65441' '65442' '65443' '65444']
F410,4054.0,30001,['30001']
J849,4041.0,5169,['5169']
E109,4023.0,25001,['25001']
Q068,3986.0,74259,['74259']
T8130XA,3975.0,99830,['99830']
C7949,3953.0,1984,['1984']
M25559,3929.0,71945,['71945']
M797,3928.0,7291,['7291']
M109,3927.0,2749,['2749']
D869,3921.0,135,['135']
C155,3907.0,1505,['1502' '1505']
T796XXA,3898.0,9586,['9586']
D351,3898.0,2271,['2271']
P0718,3885.0,76518,['76508' '76518']
R222,3881.0,7866,['7822' '7866']
M4716,3848.0,72142,['72142']
M272,3825.0,5264,['5264']
D72829,3817.0,28860,['28860']
G971,3809.0,3490,['3490']
O99343,3807.0,64843,['64841' '64843']
K8071,3806.0,57491,['57491']
K8043,3796.0,57431,['57431']
I713,3777.0,4413,['4413']
Q213,3777.0,7452,['7452']
T84019A,3774.0,99643,['99643']
R339,3767.0,78820,['78820']
K224,3757.0,5305,['5305']
N921,3743.0,6266,['6266']
O039,3736.0,63492,['63490' '63492']
K3182,3731.0,53784,['53784']
D6189,3726.0,28489,['28489']
C55,3726.0,179,['179']
L89899,3725.0,70720,['70709' '70720']
I771,3719.0,4471,['4471']
Z48811,3710.0,V5872,['V5872']
L97809,3706.0,70719,['70719']
G8929,3696.0,33829,['33829']
O481,3696.0,64523,['64523']
R1112,3694.0,78703,['78703']
L0502,3684.0,6850,['6850']
N8353,3655.0,6205,['6205']
G930,3652.0,3480,['3480']
T426X4A,3647.0,E9804,['9663' '9678' 'E9502' 'E9804']
K5180,3636.0,5568,['5568']
T836XXA,3632.0,99665,['99665']
S36031A,3631.0,86503,['86503']
Z4001,3630.0,V5041,['V5041']
Z029,3621.0,V689,['V689']
Z431,3616.0,V551,['V551']
S060X1A,3614.0,85011,['85011']
E0590,3612.0,24290,['24290']
Q231,3599.0,7464,['7464']
Z510,3589.0,V580,['V580']
M7040,3584.0,72665,['72665']
A878,3583.0,0478,['0478']
L03898,3578.0,6828,['6828']
R091,3578.0,5110,['5110']
C342,3555.0,1624,['1624']
N320,3555.0,5960,['5960']
C785,3551.0,1975,['1975']
O679,3545.0,64191,['64191']
S68629A,3536.0,8860,['8860']
R599,3532.0,7856,['7856']
F2089,3532.0,29580,['29580']
I6359,3514.0,43491,['43331' '43381' '43491']
K598,3512.0,56489,['56489']
P590,3494.0,7742,['7742']
O3443,3493.0,65464,['65461' '65462' '65463' '65464']
N824,3488.0,6191,['6191']
M65849,3484.0,72705,['72705']
H60399,3474.0,38010,['38010']
I1311,3471.0,40492,['40402' '40412' '40492']
C8583,3468.0,20283,['20283']
T8622,3455.0,99683,['99683']
N135,3448.0,5933,['5933']
J9509,3443.0,51909,['51909']
M19019,3442.0,71511,['71511']
G060,3438.0,3240,['3240']
I742,3432.0,44421,['44421']
F0781,3430.0,3102,['3102']
C801,3428.0,1991,['1991']
S52539A,3423.0,81341,['81341']
S023XXA,3418.0,8026,['8026']
P285,3415.0,77084,['77084']
S27329A,3410.0,86121,['86121']
R1012,3388.0,78902,['78902']
N8502,3387.0,62135,['62132' '62133' '62135']
C784,3384.0,1974,['1974']
S82209A,3384.0,82380,['82320' '82380']
S2220XA,3376.0,8072,['8072']
K30,3376.0,5368,['5368']
M86679,3371.0,73017,['73017']
T83498A,3359.0,99639,['99639']
K2980,3346.0,53560,['53560']
M8448XA,3340.0,73319,['73319']
I70299,3335.0,44029,['44029']
Z0389,3332.0,V7189,['V7189']
J479,3330.0,4940,['4940']
A059,3319.0,0059,['0059']
R279,3315.0,7813,['7813']
K279,3314.0,53390,['53390']
G939,3312.0,3489,['3489']
F0150,3309.0,29040,['29040']
N1371,3307.0,59370,['59370']
J9819,3302.0,5180,['5180']
A049,3295.0,0085,['0085']
F05,3292.0,2931,['2930' '2931']
C480,3291.0,1580,['1580']
J14,3291.0,4822,['4822']
K659,3291.0,5679,['5679']
K3189,3283.0,53789,['5375' '53789']
J09X2,3276.0,48882,['48802' '48882']
D6481,3275.0,2853,['2853']
E662,3267.0,27803,['27803']
F4323,3260.0,30928,['30928']
K759,3251.0,5733,['5733']
E210,3248.0,25201,['25201']
G7000,3241.0,35800,['35800']
I81,3239.0,452,['452']
P551,3233.0,7731,['7731']
D333,3231.0,2251,['2251']
G454,3211.0,4377,['4377']
J155,3210.0,48282,['48282']
T839XXA,3205.0,99676,['99676']
M12569,3189.0,71616,['71616']
O655,3189.0,66021,['66021']
Q251,3185.0,74710,['74710']
O200,3162.0,64003,['64003']
S2239XA,3160.0,80701,['80700' '80701']
N280,3156.0,59381,['59381']
S36113A,3146.0,86405,['86405']
O98513,3146.0,64763,['64761' '64763']
R319,3140.0,59970,['59970']
J982,3139.0,5181,['5181']
T7612XA,3131.0,99554,['99554']
N3289,3113.0,59689,['5966' '5967' '59689']
T400X4A,3113.0,E9800,['96500' 'E9800']
C23,3111.0,1560,['1560']
R6813,3110.0,79982,['79982']
H469,3097.0,37730,['37730']
Z332,3093.0,63590,['63590']
O3493,3087.0,65494,['65491' '65492' '65493' '65494']
D571,3085.0,28261,['28260' '28261']
B1920,3078.0,07070,['07070']
S301XXA,3073.0,9222,['9222']
F639,3067.0,31230,['31230']
K644,3065.0,4559,['4553' '4559']
K274,3055.0,53340,['53340']
I745,3052.0,44481,['44481']
J329,3046.0,4739,['4739']
N178,3045.0,5848,['5848']
K2270,3044.0,53085,['53085']
S8256XA,3043.0,8240,['8240']
G9389,3040.0,34889,['34889']
D57419,3030.0,28242,['28242']
O2603,3028.0,64613,['64611' '64613']
T50904A,3025.0,E9805,['9779' 'E9805']
T675XXA,3020.0,9925,['9925']
F2081,3019.0,29540,['29540']
K8044,3019.0,57440,['57440']
S066X8A,3014.0,85205,['85205']
Z9010,2997.0,V4571,['V4571']
O8629,2991.0,64664,['64664']
K650,2990.0,56729,['56721' '56729']
F3132,2989.0,29652,['29652']
D539,2988.0,2819,['2819']
N815,2986.0,6186,['6186']
J930,2980.0,5120,['5120']
H00039,2976.0,37313,['37313']
T465X4A,2968.0,E9804,['9726' 'E9804']
I716,2968.0,4417,['4417']
J0410,2966.0,46410,['46410']
T751XXA,2957.0,9941,['9941']
R58,2957.0,4590,['4590']
O9A23,2955.0,64894,['64894']
Z45018,2953.0,V5331,['V5331']
D375,2939.0,2352,['2352']
C185,2936.0,1537,['1537']
C01,2927.0,1410,['1410']
N210,2921.0,5941,['5940' '5941']
S7000XA,2906.0,92401,['92401']
J0190,2904.0,4619,['4619']
K228,2903.0,53089,['53082' '53083' '53089']
O753,2892.0,65931,['65931']
I4949,2869.0,42769,['42769']
F341,2868.0,30112,['3004' '30112']
I7389,2866.0,44389,['44389']
N139,2864.0,59969,['59373' '59960' '59969']
N9489,2857.0,62989,['6255' '6258' '6290' '6291' '62989']
C8339,2853.0,20070,['20000' '20050' '20070']
C163,2849.0,1512,['1512']
R259,2837.0,7810,['7810']
T80212A,2836.0,99933,['99933']
O85,2832.0,67024,['67022' '67024']
R5601,2831.0,78032,['78032']
T39314A,2829.0,E9800,['9651' 'E9800']
I300,2826.0,42091,['42091']
K2951,2821.0,53511,['53511']
E118,2816.0,25090,['25090']
R6889,2811.0,7969,['78099' '7964' '7969']
G1221,2805.0,33521,['33520' '33521']
O693XX0,2794.0,66341,['66341']
F913,2794.0,31381,['31381']
S12001A,2792.0,80501,['80501']
Q283,2788.0,74781,['74781']
S3730XA,2783.0,8670,['8670']
I871,2778.0,4592,['4592']
I5040,2776.0,42840,['4280' '42840']
K4031,2765.0,55011,['55011']
O68,2762.0,65681,['65631' '65681']
Q234,2761.0,7467,['7467']
F411,2760.0,30002,['30002']
C252,2757.0,1572,['1572']
B49,2740.0,1179,['1179']
O335XX0,2733.0,65353,['65351' '65353']
J9503,2730.0,51909,['51902' '51909']
K460,2716.0,5529,['5529']
O031,2693.0,63411,['63411']
Q379,2690.0,74920,['74920']
I7103,2679.0,44103,['44103']
D490,2673.0,2390,['2390']
S92309A,2672.0,82529,['82525' '82529']
K317,2671.0,2111,['2111']
R52,2667.0,78096,['33819' '78096']
C181,2666.0,1535,['1535']
N319,2662.0,59659,['59654' '59659']
K4020,2661.0,55092,['55092']
Q6589,2661.0,75563,['75563']
C329,2657.0,1619,['1619']
I5042,2657.0,42842,['4280' '42842']
G253,2656.0,3332,['3332']
T43294A,2652.0,E9803,['96909' 'E9803']
O320XX0,2647.0,65203,['65201' '65203']
O713,2642.0,66534,['66531' '66534']
S0100XA,2641.0,8730,['8730']
O151,2639.0,64261,['64261']
C240,2635.0,1561,['1561']
K4130,2628.0,55200,['55200']
Z006,2623.0,V707,['V707']
N732,2609.0,6144,['6144']
N809,2596.0,6179,['6179']
M84453A,2589.0,73315,['73315']
G9619,2584.0,3492,['3492']
G373,2580.0,34121,['34120' '34121']
I953,2577.0,45821,['45821']
D619,2576.0,2849,['2849']
I6789,2573.0,4378,['436' '4371' '4378']
M461,2561.0,7202,['7202']
R9431,2553.0,79431,['79431']
D6489,2543.0,2858,['2858']
K520,2541.0,5581,['5581']
K469,2539.0,5539,['55329' '5539']
Q676,2538.0,75481,['75481']
G43911,2537.0,34693,['34693']
C718,2537.0,1918,['1918']
K869,2527.0,5779,['5779']
S0265XA,2525.0,80225,['80225']
N62,2523.0,6111,['6111']
Q250,2514.0,7470,['7470']
C258,2514.0,1578,['1578']
K754,2511.0,57142,['57142']
N879,2507.0,62210,['62210']
C9102,2498.0,20402,['20402']
Z4502,2497.0,V5332,['V5332']
D57219,2494.0,28264,['28264']
S7290XA,2490.0,82100,['82100']
S36032A,2489.0,86504,['86504']
I723,2487.0,4422,['4422']
C168,2486.0,1518,['1518']
C170,2486.0,1520,['1520']
I248,2483.0,41189,['41189']
N2581,2483.0,58881,['58881']
M316,2469.0,4465,['4465']
M00859,2468.0,71105,['71105']
I776,2468.0,4476,['4476']
P90,2466.0,7790,['7790']
C519,2465.0,1844,['1844']
K912,2461.0,5793,['5793']
N151,2460.0,5902,['5902']
R5082,2458.0,78062,['78062']
N9983,2449.0,6208,['6208']
K289,2438.0,53490,['53490']
Q212,2437.0,74569,['74560' '74561' '74569']
D7389,2422.0,28959,['28959']
J386,2416.0,47874,['47874']
S20219A,2413.0,9221,['9221']
D3000,2410.0,2230,['2230']
O350XX0,2407.0,65503,['65501' '65503']
G042,2406.0,3209,['3209']
I6322,2404.0,43301,['43301']
D690,2404.0,2870,['2870']
P283,2401.0,77081,['77081']
L97409,2399.0,70714,['70714']
B259,2397.0,0785,['0785']
C50219,2392.0,1742,['1742']
N898,2391.0,6238,['6234' '6235' '6236' '6238']
C772,2384.0,1962,['1962']
Z1231,2383.0,V7612,['V7612']
I890,2382.0,4571,['4571']
F840,2378.0,29901,['29900' '29901']
I1310,2375.0,40490,['40400' '40410' '40490']
D508,2374.0,2808,['2801' '2808']
D3500,2364.0,2270,['2270']
Q430,2361.0,7510,['7510']
S36899A,2360.0,86809,['86385' '86389' '86804' '86809']
R0681,2357.0,78603,['78603']
S065X2A,2355.0,85222,['85222']
R221,2353.0,7842,['7822' '7842']
T450X4A,2350.0,E9804,['9630' 'E9804']
B0229,2345.0,05319,['05310' '05319']
E161,2342.0,2511,['2511']
G960,2342.0,38861,['34981' '38861']
M311,2342.0,4466,['4466']
P0730,2335.0,76520,['76509' '76519' '76520']
N730,2334.0,6143,['6143']
S3600XA,2332.0,86500,['86500']
C672,2326.0,1882,['1882']
R918,2321.0,79319,['79319']
K605,2320.0,5651,['5651']
S06332A,2315.0,85182,['85182']
A0811,2313.0,00863,['00863']
C9101,2310.0,20401,['20401']
M7130,2305.0,72740,['72740']
D434,2304.0,2375,['2375']
O9122,2303.0,67524,['67522' '67524']
I97190,2300.0,9971,['4294' '9971']
Z4733,2292.0,V5482,['V5482']
T428X4A,2292.0,E9804,['9664' '9680' 'E9804']
G0481,2291.0,32381,['32381']
S42256A,2290.0,81203,['81203']
M4804,2288.0,72401,['72401']
K630,2288.0,5695,['5695']
C538,2287.0,1808,['1808']
J09X1,2280.0,48881,['48801' '48881']
K9412,2280.0,56961,['56961']
R404,2277.0,78002,['78002']
Q359,2272.0,74900,['74900']
K689,2271.0,56889,['56739' '56889']
C321,2270.0,1611,['1611']
J9311,2270.0,51281,['51281']
N7013,2265.0,6141,['6141']
K315,2262.0,5373,['5372' '5373']
J9809,2260.0,51919,['51919']
C710,2259.0,1910,['1910']
G40311,2258.0,3453,['34501' '34511' '3452' '3453']
G40804,2255.0,34581,['34581']
J3489,2250.0,47819,['47819']
M793,2250.0,72930,['72930']
A310,2249.0,0310,['0310']
R1900,2247.0,78930,['78930']
O9943,2239.0,67404,['67404']
D57819,2235.0,28269,['28269']
M7989,2231.0,72999,['72981' '72999']
S06369A,2231.0,85306,['85306']
Q6211,2229.0,75321,['75321']
I728,2229.0,44289,['44282' '44283' '44289']
N359,2226.0,5989,['5989']
I499,2225.0,4279,['4279']
E049,2218.0,2419,['2419']
C251,2213.0,1571,['1571']
K130,2213.0,5285,['5285']
R05,2212.0,7862,['7862']
I70399,2208.0,44030,['44030']
Q431,2207.0,7513,['7513']
S12501A,2206.0,80506,['80506']
T798XXA,2204.0,9588,['9588']
I7102,2199.0,44102,['44102']
S0266XA,2199.0,80226,['80226']
D481,2197.0,2381,['2381']
D6959,2191.0,28749,['28749']
C4920,2191.0,1713,['1713']
C8581,2188.0,20281,['20281']
O6640,2178.0,66061,['66061']
I69991,2174.0,43882,['43882']
T182XXA,2173.0,E915,['9352' 'E915']
K767,2172.0,5724,['5724']
S329XXA,2163.0,8088,['80849' '8088']
L00,2162.0,69581,['69581']
C716,2161.0,1916,['1916']
M419,2141.0,73739,['73739']
N763,2140.0,61610,['61610']
N419,2136.0,6019,['6019']
K6812,2136.0,56731,['56731']
G030,2133.0,3220,['3220']
I868,2126.0,4568,['4568']
C029,2126.0,1419,['1419']
N840,2122.0,6210,['6210']
O323XX0,2111.0,65243,['65241' '65243']
D689,2104.0,2869,['2869']
B449,2104.0,1173,['1173']
D703,2100.0,28804,['28804']
O99413,2096.0,67403,['67401' '67403']
I456,2093.0,42681,['4267' '42681']
G0491,2090.0,3239,['3239']
B002,2087.0,0542,['0542']
B371,2085.0,1124,['1124']
C241,2085.0,1562,['1562']
T8609,2084.0,99685,['99685']
C8338,2083.0,20078,['20008' '20078']
S12601A,2076.0,80507,['80507']
G40419,2075.0,34561,['34561']
R1312,2075.0,78722,['78722']
S0292XA,2072.0,8028,['8028']
S36116A,2067.0,86404,['86404']
O009,2065.0,63390,['63390']
O639,2064.0,66211,['66211']
I82629,2052.0,45382,['45382']
G238,2051.0,3330,['3330']
T670XXA,2050.0,9920,['9920']
O99834,2047.0,64781,['64781']
C188,2044.0,1538,['1538']
G609,2042.0,3569,['3569']
O2343,2038.0,64663,['64661' '64663']
M659,2034.0,72700,['72700']
S82201A,2030.0,82380,['82320' '82380']
L98429,2027.0,7078,['7078']
G360,2019.0,3410,['3410']
C530,2019.0,1800,['1800']
A021,2019.0,99591,['0031' '99591']
O730,2019.0,66704,['66700' '66702' '66704']
C760,2017.0,1950,['1950']
C162,2014.0,1514,['1514']
N852,2012.0,6212,['6212']
O903,2009.0,67454,['67452' '67454']
J860,2008.0,53084,['5100' '53084']
K649,2007.0,4556,['4556']
G252,2002.0,3331,['3331']
R45851,2001.0,V6284,['V6284']
I270,1994.0,4160,['4160']
C6290,1980.0,1869,['1869']
T85694A,1979.0,99657,['99657']
C07,1975.0,1420,['1420']
M25469,1972.0,71906,['71906']
S7010XA,1967.0,9248,['92400' '9244' '9245' '9248']
R4701,1967.0,7843,['7843']
P0717,1963.0,76517,['76507' '76517']
K602,1960.0,5650,['5650']
Z3490,1957.0,V221,['V221']
S0180XA,1956.0,87349,['87342' '87349']
S86819A,1956.0,8448,['8448']
R262,1954.0,7197,['7197']
Q324,1954.0,7483,['7483']
F202,1950.0,29520,['29520']
D321,1949.0,2254,['2254']
N650,1943.0,6120,['6120']
O26853,1943.0,64953,['64951' '64953']
B004,1937.0,0543,['0543']
C099,1935.0,1460,['1460']
F919,1933.0,3129,['3129']
M2604,1932.0,52404,['52404']
O99353,1930.0,64683,['64681' '64683']
D708,1929.0,28809,['28809']
S66529A,1927.0,8822,['88122' '8822']
A4153,1927.0,99591,['03844' '99591']
A413,1927.0,99591,['03841' '99591']
P704,1925.0,7756,['7756']
C494,1923.0,1715,['1715']
N281,1920.0,5932,['5932']
C9002,1918.0,20302,['20302']
O99345,1916.0,64844,['64842' '64844']
M175,1911.0,71526,['71526']
G8220,1910.0,3441,['3441']
G8194,1909.0,34292,['34282' '34292']
I672,1909.0,4370,['4370']
B028,1906.0,0538,['05371' '05379' '0538']
K225,1905.0,5306,['5306']
K2981,1904.0,53561,['53561']
T85691A,1904.0,99656,['99656']
A759,1899.0,0819,['0819']
S72146D,1893.0,V5413,['V5413']
D599,1892.0,2839,['2839']
C50119,1889.0,1741,['1741']
J82,1886.0,5183,['5183']
M25569,1882.0,71946,['71946']
G450,1880.0,4353,['4350' '4351' '4353']
J158,1878.0,48289,['48281' '48289']
M6289,1875.0,72889,['7283' '72889']
C659,1874.0,1891,['1891']
D1802,1873.0,22802,['22802']
O864,1871.0,67204,['67202' '67204']
J0100,1868.0,4610,['4610']
L985,1865.0,7018,['7018']
N501,1853.0,60883,['60782' '60883']
F5000,1849.0,3071,['3071']
G44209,1848.0,33910,['30781' '33910']
O641XX0,1847.0,66001,['65221' '66001']
K639,1836.0,5699,['5699']
S064X0A,1834.0,85241,['85241']
A3790,1831.0,0339,['0339']
M00819,1828.0,71101,['71101']
Z430,1819.0,V550,['V550']
D332,1818.0,2250,['2250']
L97909,1817.0,70710,['70710']
G834,1815.0,34461,['34460' '34461']
M21869,1814.0,7366,['7366']
M8628,1812.0,73008,['73008']
K5150,1807.0,5565,['5565']
L500,1795.0,7080,['7080']
D129,1794.0,2114,['2114']
Q433,1791.0,7514,['7514']
G8190,1789.0,34290,['34280' '34290']
T84069A,1788.0,99646,['99646']
R17,1786.0,7824,['7824']
M349,1782.0,7101,['7101']
C218,1775.0,1548,['1548']
M167,1770.0,71525,['71525']
J392,1769.0,47829,['47825' '47826' '47829']
L089,1768.0,6869,['6869']
D66,1764.0,2860,['2860']
D136,1762.0,2116,['2116']
P0703,1761.0,76513,['76503' '76513']
Q429,1760.0,7512,['7512']
B003,1754.0,05472,['05472']
I63219,1753.0,43321,['43321']
T86821,1751.0,99652,['99652']
K9186,1751.0,99741,['99741']
I318,1748.0,4238,['4238']
I050,1747.0,3940,['3940']
L259,1744.0,6929,['6929']
E440,1742.0,2630,['2630']
S300XXA,1741.0,92232,['92231' '92232']
O7189,1739.0,66584,['66581' '66582' '66584']
R21,1737.0,7821,['7821']
C8588,1735.0,20288,['20288']
T880XXA,1734.0,99939,['99939']
R1033,1732.0,78905,['78905']
E669,1730.0,27800,['27800']
N830,1728.0,6200,['6200']
N839,1726.0,6209,['6209']
M8668,1723.0,73018,['73018']
P929,1722.0,77931,['77931']
A0839,1719.0,00869,['00867' '00869']
J320,1715.0,4730,['4730']
R1909,1714.0,78939,['78939']
M158,1714.0,71589,['71580' '71589']
S42409A,1714.0,81240,['81240']
N6489,1713.0,61189,['6115' '61189']
K316,1712.0,5374,['5374']
M25519,1710.0,71941,['71941']
A048,1708.0,00849,['0082' '00841' '00849']
T83098A,1707.0,99631,['99631']
I998,1706.0,45989,['45989']
T184XXA,1704.0,E915,['936' 'E915']
Q201,1699.0,74511,['74511']
C482,1697.0,1589,['1589']
O0337,1692.0,63401,['63401']
G43409,1692.0,34630,['34630']
H70009,1691.0,38300,['38300']
L511,1688.0,69513,['69513']
R6510,1685.0,99593,['99593']
O720,1684.0,66604,['66602' '66604']
N4400,1680.0,60820,['60820']
M064,1680.0,7149,['71489' '7149']
O3403,1676.0,65404,['65401' '65402' '65403' '65404']
S72499A,1672.0,82129,['82129']
K769,1672.0,5739,['5719' '5739']
T865,1667.0,99688,['99688']
I201,1664.0,4131,['4131']
S32811A,1664.0,80843,['80843']
R29810,1662.0,78194,['78194']
L97309,1657.0,70713,['70713']
S42009A,1649.0,81000,['81000']
P0716,1648.0,76516,['76506' '76516']
I898,1644.0,4578,['4578']
G08,1640.0,325,['325']
M86659,1640.0,73015,['73015']
M9689,1639.0,99799,['99799']
Z448,1628.0,V528,['V528']
C9500,1622.0,20800,['20800']
D119,1621.0,2102,['2102']
S8010XA,1618.0,92410,['92410']
D151,1617.0,2127,['2127']
M86669,1616.0,73016,['73016']
G722,1615.0,3594,['3594']
I69954,1606.0,43822,['43822']
M3320,1606.0,7104,['7104']
C50519,1606.0,1745,['1745']
J168,1606.0,4838,['4838']
M62838,1603.0,72885,['72885']
S3681XA,1603.0,86803,['86803']
M3130,1603.0,4464,['4464']
O2233,1602.0,67133,['67131' '67133']
I440,1597.0,42611,['42611']
C7490,1597.0,1940,['1940']
O2623,1592.0,64633,['64631' '64633']
H81399,1590.0,38610,['38610']
F3112,1588.0,29642,['29642']
C771,1588.0,1961,['1961']
S0520XA,1584.0,8712,['8711' '8712']
N8500,1583.0,62130,['62130']
G002,1581.0,3202,['3202']
K223,1580.0,5304,['5304']
H8123,1576.0,38612,['38612']
J0510,1571.0,46430,['46430']
M353,1570.0,725,['725']
E232,1569.0,2535,['2535']
O008,1560.0,63380,['63380']
N454,1559.0,6040,['6040']
K8019,1558.0,57411,['57411']
R049,1557.0,78630,['78630']
G43819,1555.0,34681,['34621' '34681']
G959,1555.0,3369,['3369']
I808,1552.0,45189,['45189']
O368190,1550.0,65573,['65573']
M12579,1550.0,71617,['71617']
P0702,1549.0,76512,['76502' '76512']
O331,1548.0,65313,['65311' '65313']
O755,1539.0,65831,['65831']
I97821,1538.0,99702,['99702']
R6521,1538.0,99592,['78552' '99592']
H7090,1534.0,3839,['3839']
E063,1532.0,2452,['2452']
S3609XA,1526.0,86509,['86509']
N040,1526.0,5813,['5813']
S31105A,1524.0,8792,['8792']
M216X9,1524.0,73679,['73679']
S335XXA,1524.0,8472,['8472']
A870,1522.0,0478,['0470' '0471' '0478']
H532,1521.0,3682,['3682']
C320,1521.0,1610,['1610']
C669,1520.0,1892,['1892']
N3946,1508.0,78833,['78833']
E1029,1507.0,25041,['25041']
R110,1506.0,78702,['78702']
M84429A,1504.0,73311,['73311']
A044,1501.0,00809,['00800' '00809']
E8359,1498.0,27549,['27549']
C774,1494.0,1965,['1965']
O330,1493.0,65301,['64871' '64872' '65301']
M00879,1489.0,71107,['71107']
D444,1487.0,2370,['2370']
R570,1487.0,78551,['78551']
F458,1486.0,3068,"['30089' '3060' '3061' '3062' '3063' '3064' '30650' '30652' '30653'
 '30659' '3067' '3068']"
P2401,1485.0,77012,['77012']
K5712,1484.0,56201,['56201']
I7409,1480.0,44409,['44409']
M949,1479.0,73390,['73390']
T8209XA,1478.0,99602,['99602']
J700,1473.0,5080,['5080']
S138XXA,1470.0,8470,['8470']
S36115A,1468.0,86403,['86403']
S12401A,1467.0,80505,['80505']
K658,1465.0,56789,['56789']
O900,1461.0,67414,['67412' '67414']
P0715,1459.0,76515,['76505' '76515']
M7580,1458.0,7262,['7262']
C717,1450.0,1917,['1917']
P284,1450.0,77082,['77082']
K5710,1449.0,56200,['56200']
S069X9A,1447.0,85406,['85406']
S36408A,1444.0,86329,['86329']
K36,1444.0,542,['542']
S36409A,1439.0,86320,['86320']
G0489,1437.0,32382,['32382']
F330,1436.0,29631,['29631']
E213,1436.0,25200,['25200']
R911,1435.0,79311,['79311']
S065X8A,1435.0,85225,['85225']
J122,1435.0,4802,['4802']
I421,1434.0,42511,['42511']
C9252,1433.0,20502,['20502']
M5125,1433.0,72211,['72211']
S72019A,1430.0,82000,['82000']
P0714,1428.0,76514,['76504' '76514']
F302,1425.0,29604,['29604']
G009,1424.0,3209,['32082' '3209']
B1910,1423.0,07030,['07030']
M75120,1420.0,72761,['72761']
G909,1420.0,3379,['3379']
Q245,1417.0,74685,['74685']
L03019,1415.0,6819,['68100' '68101' '68102' '6819']
Z23,1414.0,V059,['V059']
J9801,1414.0,51911,['51911']
D3910,1414.0,2362,['2362']
I052,1413.0,3942,['3942']
M5430,1410.0,7243,['7243']
O9112,1408.0,67514,['67512' '67514']
M3390,1407.0,7103,['7103']
T68XXXA,1404.0,9916,['9916']
K645,1401.0,4557,['4554' '4557']
Q378,1398.0,74924,['74923' '74924']
N871,1398.0,62212,['62212']
G936,1396.0,3485,['3485']
C384,1396.0,1639,['1639']
E209,1396.0,2521,['2521']
P744,1395.0,7755,['7755']
K8021,1395.0,57421,['57421']
F3162,1393.0,29662,['29662']
C674,1392.0,1884,['1884']
K5120,1390.0,5562,['5562']
K029,1390.0,52100,['52100']
F603,1388.0,30183,['3013' '30183']
O26613,1378.0,64673,['64671' '64673']
C7A090,1377.0,20921,['20921']
K319,1375.0,5379,['5369' '5379']
J3501,1375.0,47400,['47400']
C4020,1374.0,1707,['1707']
S92109A,1374.0,82521,['82521']
G259,1373.0,33390,['33390']
Z5289,1371.0,V598,['V598']
K1233,1369.0,52801,['52801']
L723,1365.0,7062,['7062']
T39394A,1360.0,E9800,['96561' 'E9800']
S06890A,1359.0,85401,['85401']
C8333,1359.0,20073,['20003' '20073']
A039,1356.0,0049,['0049']
Q248,1354.0,74689,['74684' '74687' '74689']
E0501,1353.0,24201,['24201']
G8911,1352.0,33811,['33811']
