PRINC_DIAG_CODE,Count,ICD-9,icd9cm_mult
K226,12128.0,5307,['5307']
I2129,12046.0,41081,['41051' '41061' '41081']
R1110,12001.0,78703,['5362' '78703']
Z5112,11999.0,V5812,['V5812']
D61818,11994.0,28419,['28419']
O322XX0,11962.0,65233,['65231' '65233']
N8111,11946.0,61801,['61801']
M5030,11932.0,7224,['7224']
M00869,11916.0,71106,['71106']
N3001,11913.0,5950,['5950']
K2211,11856.0,53021,['53021']
Z381,11794.0,V392,['V301' 'V302' 'V391' 'V392']
K2900,11785.0,53500,['53500']
K861,11748.0,5778,['5771' '5778']
K259,11730.0,53190,['53190']
I70209,11674.0,44020,['44020']
P819,11661.0,7784,['7784']
I209,11650.0,4139,['4139']
O640XX0,11519.0,66031,['66031']
K5733,11503.0,56213,['56213']
O24913,11493.0,64803,['64801' '64803']
O2492,11491.0,64801,['64801']
R072,11423.0,78651,['78651']
K5649,11420.0,56039,['56030' '56039']
M940,11400.0,7336,['7336']
G40309,11355.0,34510,['34500' '34510']
T84039A,11344.0,99641,['99641']
K8064,11330.0,57470,['57470']
G40109,11276.0,34580,['34550' '34570' '34580']
C50819,11271.0,1748,['1748']
K222,11261.0,5303,['5303']
K9423,11240.0,53642,['53642']
G8918,11232.0,33818,['33818']
A080,11195.0,00861,['00861']
G610,11139.0,3570,['3570']
T8789,11113.0,99769,['99769']
K9419,11103.0,56969,['56969']
O715,11088.0,66554,['66551' '66554']
C539,11083.0,1809,['1809']
N289,11073.0,5939,['5939']
L03222,10995.0,6821,['6821']
O9903,10961.0,64824,['64822' '64824']
K8051,10936.0,57451,['57451']
J95811,10928.0,5121,['5121']
J471,10921.0,4941,['4941']
R040,10847.0,7847,['7847']
I4901,10834.0,42741,['42741']
O99334,10834.0,64901,['64901']
N186,10812.0,5856,['5856']
O09513,10789.0,V2381,['65951' '65953' 'V2381']
K047,10766.0,5225,['5225']
O9089,10724.0,67904,['64644' '64684' '67444' '67482' '67484' '67904']
T84099A,10702.0,99647,['99647']
I5022,10680.0,42822,['4280' '42822']
I629,10651.0,4329,['4329']
K828,10602.0,5758,['5758']
O034,10593.0,63491,['63491']
T888XXA,10472.0,9999,['9999']
J121,10434.0,4801,['4801']
O703,10428.0,66434,['66431' '66434']
E1069,10380.0,25081,['25081']
C782,10365.0,1972,['1972']
J439,10362.0,4928,['4920' '4928']
T82598A,10273.0,9961,['99609' '9961']
F0390,10180.0,29420,['2900' '29010' '29011' '29013' '29021' '2908' '2909' '29420']
F419,10164.0,30000,['30000']
I2111,10104.0,41031,['41031']
K311,10094.0,5370,['5370']
N739,10043.0,6169,['6149' '6169']
K210,10037.0,53011,['53011']
F909,9999.0,3149,['31400' '31401' '3149']
I5020,9996.0,42820,['4280' '42820']
G912,9994.0,3315,['3315']
D61810,9992.0,28411,['28411']
R310,9990.0,59971,['59971']
G40209,9988.0,34540,['34540']
I9581,9985.0,45829,['45829']
G40919,9976.0,34591,['34591']
Z4889,9952.0,V5849,['V5849']
O619,9949.0,65911,['65911']
G40409,9931.0,34560,['34560']
J157,9863.0,4830,['4830']
K5909,9832.0,56409,['56409']
M5417,9821.0,7244,['7244']
K9422,9810.0,53641,['53641']
Q400,9799.0,7505,['7505']
N764,9784.0,6164,['6164']
O721,9778.0,66614,['66612' '66614']
T8571XA,9765.0,99668,['99668']
O82,9747.0,66971,['66971']
E119,9681.0,25000,['25000']
C7989,9667.0,19889,['19889']
M069,9628.0,7140,['7140']
K8063,9603.0,57461,['57461']
B182,9587.0,07054,['07054']
N3091,9546.0,5959,['5959']
C711,9524.0,1911,['1911']
K208,9497.0,53019,['53019']
G510,9474.0,3510,['3510']
C184,9395.0,1531,['1531']
K8001,9391.0,57401,['57401']
N813,9386.0,6183,['6183']
R0781,9374.0,78652,['78652']
K2961,9325.0,53541,['53521' '53541']
K8066,9314.0,57480,['57480']
K631,9299.0,56983,['56983']
S272XXA,9278.0,8604,['8604']
K5000,9271.0,5550,['5550']
D702,9205.0,28803,['28803']
N499,9192.0,6084,['6084']
E840,9103.0,27702,['27702']
I080,9009.0,3963,['3960' '3961' '3962' '3963']
C169,8963.0,1519,['1519']
R0689,8941.0,7869,['78499' '78609' '7869']
M129,8914.0,71690,['71690']
B349,8898.0,7908,['7908']
O902,8869.0,67432,['67432']
F068,8865.0,2948,['2948']
K8042,8841.0,57430,['57430']
F348,8784.0,29699,['29699']
R1310,8741.0,78720,['78720']
O692XX0,8724.0,66321,['66321']
N950,8718.0,6271,['6271']
I712,8716.0,4412,['4412']
Z4931,8711.0,V5631,['V5631']
I259,8699.0,4149,['4148' '4149']
C719,8687.0,1919,['1919']
K830,8680.0,5761,['5761']
E042,8669.0,2411,['2411']
